protein,lrt_chisq,lrt_df,p_value,p_fdr
PNLIPRP2,1.6908077512607633,2,0.4293839054909277,0.8555327144056164
OSCAR,3.183576927827687,2,0.2035612240807304,0.7862023558020971
PON3,1.6330586067847435,2,0.44196291488819606,0.8555327144056164
FABP1,0.7602886797856172,2,0.6837627078532974,0.9294716053278546
MPIG6B,2.201639986846658,2,0.3325982434775119,0.8555327144056164
B4GALT1,1.3647759425868884,2,0.5054086488500689,0.8614718688319216
LGALS9,5.464985372592764,2,0.06505692088979935,0.7760494874942448
FSTL3,0.3666431838291828,2,0.8325003872898683,0.9583123429253146
TNFRSF14,0.5053848961265999,2,0.7767067227506904,0.9307852054633672
REG4,3.8377840954821067,2,0.1467694856627516,0.7760494874942448
WFIKKN2,4.2520354385952785,2,0.11931148086066493,0.7760494874942448
AGRN,3.9348549496423857,2,0.13981607433975132,0.7760494874942448
TFF2,5.73457708949627,2,0.056852871795561824,0.7760494874942448
CXCL3,1.0834059324524787,2,0.5817566963146708,0.8900380225668894
NME3,1.7989994016479187,2,0.4067731170969005,0.8555327144056164
