protein,timepoint,n_synf,n_ctrlf,p_value,cohens_d,d_ci_lower,d_ci_upper,p_fdr
SCRN1,V5,41,41,0.16503403930609178,-0.17794654553778533,-0.6117153756242752,0.2558222845487046,0.881823672710162
PROK1,V1,43,43,0.9247053679747859,0.08553041884303449,-0.33737187457987966,0.5084327122659487,0.9974350922814665
PROK1,V3,41,42,0.4822638560285441,0.14236891576909386,-0.2884963485802795,0.5732341801184672,0.9562180802473277
PROK1,V5,41,41,0.6512063796148355,0.10913649608144112,-0.324085271208262,0.5423582633711442,0.9715791351870459
IKBKG,V1,43,43,0.5588345750302292,-0.11053479113583181,-0.533569604514059,0.31250002224239537,0.9974350922814665
IKBKG,V3,41,42,0.27000631597505353,-0.20698247173992712,-0.6384684608140014,0.22450351733414725,0.9531863394505088
IKBKG,V5,41,41,0.6183019731515813,-0.06984355252493309,-0.5028703942522573,0.3631832892023911,0.9715791351870459
NFATC1,V1,43,43,0.9588877136766193,-0.026296342202948342,-0.4490195164113952,0.3964268320054985,0.9974350922814665
NFATC1,V3,41,42,0.5346362924293818,-0.11602680748637048,-0.5467047208716097,0.3146511058988688,0.962574441529572
NFATC1,V5,41,41,0.6915923099423628,-0.02901084575227641,-0.46192576749513053,0.4039040759905777,0.9715791351870459
CCL26,V1,43,43,0.5473150771383312,0.23134640949147844,-0.1928032342898915,0.6554960532728484,0.9974350922814665
CCL26,V3,41,42,0.43278243429198293,0.029474265882753044,-0.400856802478056,0.45980533424356207,0.9562180802473277
CCL26,V5,41,41,0.6984123660728777,0.06906444150910444,-0.36395939984392484,0.5020882828621337,0.9715791351870459
CLEC4C,V1,43,43,0.8568130904210148,0.020245305024761722,-0.4024702520374658,0.44296086208698926,0.9974350922814665
CLEC4C,V3,41,42,0.24695364966686686,-0.286804827667631,-0.7193725516487232,0.14576289631346118,0.9531863394505088
CLEC4C,V5,41,41,0.5861377113741169,-0.1884259350506232,-0.6223010103736272,0.24544914027238077,0.9715791351870459
CEACAM21,V1,43,43,1,0.02622215580887557,-0.3965009130207294,0.44894522463848047,1
CEACAM21,V3,41,42,0.42746994267325694,-0.21460950859796016,-0.6461838471851442,0.21696482998922387,0.9562180802473277
CEACAM21,V5,41,41,0.2713507728603114,-0.3125600105132398,-0.7481524222159117,0.1230324011894322,0.9618175909306087
PSMG3,V1,43,43,0.224540535911085,-0.2710463750392322,-0.6957333131985735,0.1536405631201091,0.9974350922814665
PSMG3,V3,41,42,0.522757517712014,-0.1816781896168412,-0.6128938444180201,0.24953746518433764,0.962574441529572
PSMG3,V5,41,41,0.6313778512399456,-0.17621104354272987,-0.6099628624661002,0.2575407753806404,0.9715791351870459
COL9A1,V1,43,43,0.8098750451792018,0.07338755183430953,-0.3494625676209382,0.4962376712895573,0.9974350922814665
COL9A1,V3,41,42,0.8243495478925863,-0.0034444917492986982,-0.4337519504257715,0.4268629669271742,0.9746018750194912
COL9A1,V5,41,41,0.44696928675609915,0.2583793992933617,-0.17635963447961356,0.6931184330663369,0.9715791351870459
GOPC,V1,43,43,0.8838728471211061,0.012904371467978341,-0.40980460358326193,0.4356133465192186,0.9974350922814665
GOPC,V3,41,42,0.19856825748163423,-0.25786854900628225,-0.6900040489897532,0.17426695097718875,0.9531863394505088
GOPC,V5,41,41,0.7398226956032012,0.023434784859317395,-0.40947202726368975,0.4563415969823245,0.9715791351870459
MAP2K6,V1,43,43,0.938365324796312,0.010658998635703661,-0.4120485453550193,0.43336654262642665,0.9974350922814665
MAP2K6,V3,41,42,0.5772443226621816,-0.08541488981950562,-0.515923002275448,0.34509322263643666,0.962574441529572
MAP2K6,V5,41,41,0.2598275737930435,-0.1009062048621219,-0.5340800651816864,0.3322676554574425,0.9618175909306087
NT5C3A,V1,43,43,0.5079357305403811,-0.1215282367953354,-0.5446319949164974,0.3015755213258266,0.9974350922814665
NT5C3A,V3,41,42,0.2083108128620338,-0.28868120651179674,-0.7212785278873036,0.14391611486371014,0.9531863394505088
NT5C3A,V5,41,41,0.9045626527665476,0.04519739549496008,-0.38775083430704954,0.47814562529696975,0.9715791351870459
ARHGEF12,V1,43,43,0.4187864311541251,0.19209242239132587,-0.23160893269890784,0.6157937774815596,0.9974350922814665
ARHGEF12,V3,41,42,0.0404311182833587,-0.38289436753612105,-0.8172223893215027,0.05143365424926066,0.9531863394505088
ARHGEF12,V5,41,41,0.1594317997296655,-0.19163565500882981,-0.6255444825013782,0.24227317248371857,0.8781012969726193
CASP2,V1,43,43,0.8838728471211061,0.038899774418395316,-0.38384562346878925,0.4616451723055799,0.9974350922814665
CASP2,V3,41,42,0.03144203850407284,-0.43069183382185167,-0.8660801536203393,0.004696485976635911,0.9531863394505088
CASP2,V5,41,41,0.48961722464691027,-0.06901744723907467,-0.5020411086917271,0.36400621421357776,0.9715791351870459
CNTNAP2,V1,43,43,0.5822170757422587,0.06580990571653597,-0.35701169261207677,0.48863150404514877,0.9974350922814665
CNTNAP2,V3,41,42,0.9530469556133357,0.009200764020779299,-0.4211087003105173,0.43951022835207587,0.993568009111052
CNTNAP2,V5,41,41,0.7328651667700142,-0.08041876281319729,-0.5134896564101826,0.352652130783788,0.9715791351870459
MAPK9,V1,43,43,0.19919655677327014,-0.11975403794493437,-0.542846228030093,0.30333815214022425,0.9974350922814665
MAPK9,V3,41,42,0.21839139951683872,-0.3503669449784639,-0.7840433629688351,0.08330947301190739,0.9531863394505088
MAPK9,V5,41,41,0.4305239197812324,-0.008527331035964853,-0.44142092979594144,0.4243662677240117,0.9715791351870459
BCR,V1,43,43,0.7375228453167286,-0.0649523380312559,-0.4877709040887413,0.3578662280262295,0.9974350922814665
BCR,V3,41,42,0.10227202272881465,-0.25824945751934447,-0.6903903515428698,0.17389143650418082,0.9531863394505088
BCR,V5,41,41,0.4945612244992096,0.00715603268529416,-0.4257369696543124,0.44004903502490067,0.9715791351870459
CLIP2,V1,43,43,0.7922195455230348,-0.05184371828019701,-0.47462088196555524,0.3709334454051612,0.9974350922814665
CLIP2,V3,41,42,0.3029501054757239,-0.20128017569191847,-0.6327021880356901,0.23014183665185317,0.9531863394505088
CLIP2,V5,41,41,0.9118731548124229,0.09131101845519167,-0.34181172416915057,0.5244337610795339,0.9715791351870459
SELPLG,V1,43,43,0.5881325612398198,0.09307848505989307,-0.32986025461874535,0.5160172247385315,0.9974350922814665
SELPLG,V3,41,42,0.8032540131111602,-0.12645259806739123,-0.5572001040909014,0.30429490795611885,0.9746018750194912
SELPLG,V5,41,41,0.42714893051055136,0.19383156330344697,-0.24010068239437232,0.6277638090012663,0.9715791351870459
