protein,follow_up_timepoint,n_synf,n_ctrlf,p_value,cohens_d,d_ci_lower,d_ci_upper,p_fdr
TBC1D5,V3,41,42,0.7546034501442722,-0.08360407043095211,-0.5141037534103553,0.34689561254845114,0.9433111059295798
TBC1D5,V5,41,41,0.659561953161876,0.04338114422510146,-0.3895626245701532,0.4763249130203562,0.9677179476719329
EPO,V3,41,42,0.026653981384463964,-0.4880328134123433,-0.9248534104206041,-0.05121221640408252,0.8183649169894438
EPO,V5,41,41,0.04181730013466361,-0.5112210290743727,-0.951300637775178,-0.07114142037356747,0.6321136273041945
CCL7,V3,41,42,0.1601470760397369,-0.44560268687605936,-0.881346691703198,-0.009858682048920764,0.8183649169894438
CCL7,V5,41,41,0.05699162574836401,-0.515765944884584,-0.9559728625198969,-0.07555902724927127,0.6321136273041945
DAPP1,V3,41,42,0.39639348049278,-0.16767074225991715,-0.598751823791389,0.26341033927155466,0.8183649169894438
DAPP1,V5,41,41,0.7468013438706507,0.03218723905662705,-0.4007330731857037,0.46510755129895787,0.9921345941240547
EDAR,V3,41,42,0.0911961733293656,-0.5085666320959031,-0.9459423384337935,-0.07119092575801284,0.8183649169894438
EDAR,V5,41,41,0.21867788646791578,-0.2668735641864746,-0.7017357839164603,0.16798865554351106,0.7749797329537959
TRIM5,V3,41,42,0.3667069748735292,-0.1834786680747343,-0.6147124000650164,0.24775506391554777,0.8183649169894438
TRIM5,V5,41,41,0.5424451349114037,-0.11838817432357368,-0.5516682688865362,0.31489192023938883,0.9324192002629563
DPP10,V3,41,42,0.4489447626359347,-0.10486255674759808,-0.5354725727312355,0.32574745923603937,0.8239225930080196
DPP10,V5,41,41,0.24402838950976977,-0.21592308908228436,-0.6501056945705692,0.21825951640600044,0.7800193164687284
ITGA6,V3,41,42,0.0404311182833587,-0.5029333727191615,-0.9401545839166947,-0.06571216152162829,0.8183649169894438
ITGA6,V5,41,41,0.33201161754281744,-0.2107996502061323,-0.6449218013765068,0.2233225009642422,0.8143362255792861
FCRL6,V3,41,42,0.8597820332680803,0.14031720129660835,-0.2905321022365988,0.5711665048298156,0.9865447689422203
FCRL6,V5,41,41,0.1512969000488137,-0.21201622464294267,-0.6461526001844295,0.22212015089854426,0.6856239268034848
LSP1,V3,41,42,0.3203737031139622,-0.22469765563379715,-0.6563937332852618,0.20699842201766752,0.8183649169894438
LSP1,V5,41,41,0.7608198893840034,-0.10459261133209112,-0.5377874659779529,0.3286022433137707,0.9959906581639282
STX8,V3,41,42,0.3476993718548228,-0.23279599326938855,-0.6645938172623554,0.19900183072357835,0.8183649169894438
STX8,V5,41,41,0.6915923099423628,-0.1148728839864247,-0.5481302585531167,0.31838449058026735,0.9747639644069522
HLA.E,V3,41,42,0.5959767401665277,-0.0976502660547786,-0.5282200632450222,0.332919531135465,0.8422526363383754
HLA.E,V5,41,41,0.39553449859272033,-0.25753718195934716,-0.6922642167839804,0.1771898528652861,0.8292029646505347
TRIM21,V3,41,42,0.8669045566908281,3.4985035787573655e-4,-0.4299572847731915,0.43065698548894293,0.9874488161592604
TRIM21,V5,41,41,0.8826815127850661,0.024775445516589993,-0.4081331589650715,0.4576840499982515,0.9964165017853371
