feature,modality,feature_name,module,kME
Olink_SCG3,Olink,SCG3,yellow,0.4341388863930344
Olink_PDLIM7,Olink,PDLIM7,turquoise,0.8926051272536166
Olink_SMOC2,Olink,SMOC2,blue,0.8782333763145157
Olink_TREM2,Olink,TREM2,blue,0.4158578559623099
Olink_MZB1,Olink,MZB1,turquoise,0.446775758550752
Olink_TNFSF13,Olink,TNFSF13,turquoise,0.5783332495610467
Olink_ROBO1,Olink,ROBO1,blue,0.8050080152193186
Olink_TNFRSF11B,Olink,TNFRSF11B,brown,0.3537026738600589
Olink_ENPP5,Olink,ENPP5,yellow,0.6339499084864053
Olink_LAIR1,Olink,LAIR1,blue,0.5582689747533945
Olink_COLEC12,Olink,COLEC12,blue,0.8866216705657168
Olink_SIRPB1,Olink,SIRPB1,brown,0.7821291991631748
Olink_ANGPT1,Olink,ANGPT1,green,0.9618485401802901
Olink_PDGFB,Olink,PDGFB,green,0.9506193253583544
Olink_CRKL,Olink,CRKL,turquoise,0.9496730829941471
Olink_EPCAM,Olink,EPCAM,blue,0.5909197545894989
Olink_DNPH1,Olink,DNPH1,turquoise,0.8016690737748172
Olink_CCL17,Olink,CCL17,turquoise,0.6585042481750287
Olink_MEGF10,Olink,MEGF10,blue,0.6905298297130779
Olink_CRHBP,Olink,CRHBP,blue,0.4509511329132687
Olink_LGALS4,Olink,LGALS4,blue,0.5439527307212616
Olink_LHPP,Olink,LHPP,turquoise,0.7475236325002541
Olink_TPP1,Olink,TPP1,blue,0.5868027339241769
Olink_CRELD2,Olink,CRELD2,blue,0.6062168920092189
Olink_CTRC,Olink,CTRC,turquoise,0.03828763106598055
Olink_MEPE,Olink,MEPE,blue,0.2860064323284551
Olink_CDON,Olink,CDON,blue,0.483216733238872
Olink_ADGRE2,Olink,ADGRE2,blue,0.4344467267726668
Olink_AGER,Olink,AGER,blue,0.5231069776827181
Olink_IL1R2,Olink,IL1R2,blue,0.5603011949035887
Olink_ESM1,Olink,ESM1,turquoise,0.16000820040528585
Olink_SPON1,Olink,SPON1,blue,0.8101212976707147
Olink_ATP5IF1,Olink,ATP5IF1,turquoise,0.8965660676445584
Olink_SKAP2,Olink,SKAP2,turquoise,0.912676079471534
Olink_CXCL1,Olink,CXCL1,turquoise,0.6315549801291233
Olink_PRSS8,Olink,PRSS8,blue,0.6805739714896016
Olink_PLAUR,Olink,PLAUR,blue,0.8356182491373428
Olink_CCL22,Olink,CCL22,turquoise,0.2857610234302104
Olink_PRELP,Olink,PRELP,turquoise,0.44950299225534573
